"Data Source","World Development Indicators",

"Last Updated Date","2017-04-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Spain","ESP","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.31726264783144","1.02933824091843","1.27425041193705","1.6947825667147","2.16585462196415","1.97805272386877","1.77835223874838","2.48550459817921","1.83756580638056","2.11812337700786","2.25057585390337","2.76559088832753","2.83434370214495","3.0002008991554","3.25528779818224","3.68141322258167","3.26362595824823","3.57155885455142","4.24218165373915","4.33018756797172","4.38296278082535","4.11536657027685","3.59924314040168","",
"Spain","ESP","Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","TX.VAL.MRCH.R1.ZS","0.317285142778314","0.80180053453369","0.545033383294727","0.285326086956522","0.282929896259038","0.349687400656988","0.358622888109659","0.187942749747","0.443831683916295","0.2141779470569","0.191626186680725","0.254543845858048","0.171437286032068","0.323371751500053","0.502476257394773","0.575622091583352","0.471839210216574","0.549217758530096","1.13315549076848","1.10677494569113","0.702089567224171","1.10708621754889","1.72079408351366","1.90317593085443","1.42708355005025","2.59946971494599","1.52540109558422","1.27326939416279","1.02652110963368","1.1210145951267","1.10439691748172","1.03089322303474","1.14285305378527","1.81320029081659","1.60152443505131","1.73229464182797","1.55591519304509","1.43768607816338","0.911399459977582","0.982396840094913","1.03585590831369","1.20504818458827","1.25293039425493","1.36709904506963","1.32179553222052","1.51222010979967","1.48192885762119","1.71124426248369","1.66496026534847","1.86112668771055","1.95022311676101","2.20145627091096","2.39910576400217","2.45165663558459","2.50336702848969","2.70503026241842","",
"Spain","ESP","Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","TX.VAL.MRCH.OR.ZS","12.0430404193682","13.2930088620059","14.7022755143753","14.008152173913","16.1060463166719","17.675108615026","23.5416002550207","19.2930461182594","20.6347107854247","22.1600320739389","18.6559389473948","18.5667275802341","19.4507696272028","20.1989085234047","20.3167852852513","25.3254167915847","23.6837611441499","25.3226275172481","25.4923009010809","25.4596136998415","26.1863238068942","29.0405744688387","29.7088802930523","26.4113755607939","22.4385546506637","21.1670397920127","15.7351086148412","13.2230705675065","11.902094767289","11.0132980731374","10.7043144697797","10.3673978965804","11.5954173453307","13.7352417574677","12.1490419401488","12.3071807202085","12.4227709200267","13.4089929700561","13.2955939922828","12.5923632733376","13.1492884144369","13.2260280296634","13.0546699880734","12.3115991866361","13.0312578907106","13.6118325294553","13.8682118000038","14.6337841226014","15.9599970105591","16.1430459251793","16.9822470085841","18.1321592722578","20.0214191476346","20.5779088287271","19.6165549205248","19.0361049146311","",
"Spain","ESP","Merchandise exports to high-income economies (% of total merchandise exports)","TX.VAL.MRCH.HI.ZS","78.0521451234653","77.9997186664791","77.2584820820275","77.8940217391304","77.4180027245101","76.0940977005404","69.270003187759","71.6640161919907","72.0209765556143","70.3748641605385","72.9961883961558","75.5202324924539","74.5292048149687","73.8479881352811","72.3143656927854","67.7194103001942","69.0180312030467","68.0433151108759","67.953572874409","67.978611505516","67.052280934298","62.6697571552813","64.296206932565","67.2253567536056","70.9943814237548","71.6080430005468","78.5539259415671","80.0926530461673","81.5139324748874","81.4419958928699","81.8085202129819","82.2118705404786","83.2347151103803","81.8626423143968","82.5545144223541","83.8342299416897","82.7551716073434","84.6160136961926","84.8654913694419","85.3904310627544","84.1515807773003","84.2347806453981","84.546890791132","84.9644087668271","84.123255017859","82.820716927276","82.1955144278701","81.5202494951779","79.5649267409045","80.153637983324","79.1943870807179","77.6605376470935","75.4930380641653","75.0147759266721","75.9548625361462","77.4884566794576","",
"Spain","ESP","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","725000000","710000000","736667000","735333000","919833000","935167000","1253500000","1362070000","1589430000","1900140000","2388430000","2964370000","3816640000","5197580000","7090980000","7690490000","8730290000","10223400000","13114000000","18208300000","20720000000","20334000000","20498000000","19734000000","23508000000","24247000000","27206000000","34192000000","40341000000","44492000000","55642000000","60177000000","64334000000","64603000000","76696000000","97849000000","107243000000","100756000000","111973296000","104432913681","115250844197","116659500348","125687225510","156146557358","182622842795","192644439622.935","213716850868.687","253297331793.607","281493198693.233","227338409990.019","254417586229.526","306550789610.016","295250252000","317833321830","324535678050","281835744750","",
"Spain","ESP","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","2.64864119188854","2.82740188493459","2.72516691647363","2.29619565217391","2.4311013308184","3.57105012186076","4.27159706726172","5.11059707965881","4.65362242199894","6.14680157415516","4.65132820377646","4.69204618541545","5.83386359692254","6.80166338706707","8.31416169904123","9.55042559015603","9.5260634719435","12.0781918573306","11.2364073565525","11.9021424196902","12.8433396583341","15.048816864938","15.7168137101316","14.3362988872836","12.6347271574709","9.32154463576432","6.79981768466142","6.11083817542068","5.90334031398798","4.78564141089125","4.28074315429589","4.071645633259","4.27927319759816","4.71527633898467","4.11565594924062","4.14793162057402","3.50145158728384","3.5393944328912","3.74962838115115","3.822994772074","3.72101058274412","4.02337604170491","4.18642759869061","4.02730914262181","4.38248815361501","4.2051270926005","4.17254091345159","4.68226207903392","5.58832096630117","5.95963544567937","5.66050813578203","5.71922198955968","6.98591809407287","7.65976724928376","7.52239143761184","7.62195032928348","",
"Spain","ESP","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","6.12526128125952","5.66925427000847","5.62552011246835","5.54516594903353","4.67382361843651","5.75245610000182","5.6084421283963","4.39113034223141","4.0335798609048","2.88243631585776","1.85702837598143","2.02986735717664","2.4316749979962","2.64135772384691","2.66608490243357","2.68995010701532","2.51783115932076","2.78153165375524","4.53410878840442","4.22489726904777","3.5102906942221","3.71891219616451","4.0123985982849","3.42785995942688","2.80461288704114","2.54918791045568","2.99484686198788","3.35354104063028","2.44265561315231","2.5226507538608","2.456990974036","2.42744722466476","2.29323865238468","2.31892549423755","2.3150676621216","2.52338986791063","2.11123240397008","2.20626522708555","2.23515503543712","2.14923720614824","2.00796669999909","1.94667453960811","1.95581560462367","2.40772168316473","3.14509048564726","3.07340029553534","2.76099522906593","2.72215921170501","3.44954690743067","3.77826603091149","3.69005534621534","3.30448451363895","3.32070620555186","3.33177743056588","",
"Spain","ESP","Manufactures exports (% of merchandise exports)","TX.VAL.MANF.ZS.UN","","","27.7502321147519","30.7697539300668","31.9335266927922","39.3332999903717","43.652860212622","40.2144304438055","46.3332730007019","53.5058240451137","53.3498023398473","60.2362542561826","64.8720856965765","61.9963494863023","64.6220693990744","69.9959989904264","69.1605980764344","70.4946620148044","73.2578181810367","73.234386330019","71.7216131289929","70.3362315687512","71.3996312570708","69.6866556571726","69.2039681551951","70.4106076456586","72.1396164553486","71.0381936432164","72.1847279319873","72.725925668517","74.8731282411753","74.7620699717277","76.8010480673763","76.3903618414882","77.4242660701763","78.1956839984209","77.7674790852363","75.9806381577403","77.8219363429668","78.3930355874375","77.7134872228213","77.6070936123791","77.6412955720235","77.3595468774996","77.2429230269994","76.5958445025702","75.9151537365232","75.7491670044901","73.2562558981963","73.2197661122267","72.544897882648","70.1600784555054","67.7943106042882","69.1268415867214","69.3715703513551","71.9764034396269","",
"Spain","ESP","Insurance and financial services (% of commercial service exports)","TX.VAL.INSF.ZS.WT","","","","","","","","","","","","","","","","1.53307902962568","2.49176166521081","1.76888980416545","1.7643541282956","1.97615973963108","2.45839235196164","2.06686324448011","2.22748973030907","2.29767325256152","1.42453615878834","1.34340624845238","1.30080436631397","1.51668523725515","1.35452378515159","1.92530273428146","4.31028266405715","4.85192156282918","6.01778338602287","4.81308503894374","4.53455728935733","3.92467643014808","3.80870119330933","3.0998230136542","3.19126992333436","","","","","","","","","","","","","","","4.93619349248212","4.56135451478073","4.75181679379557","",
"Spain","ESP","ICT goods exports (% of total goods exports)","TX.VAL.ICTG.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.7249311325","4.5373222687","3.9720900856","4.1474585519","3.8383656148","3.732677516","3.4323356466","2.6357440935","2.4422757879","2.1884970418","2.1907816745","1.532128861","1.2673737019","1.0714388879","1.1293139699","1.257399683","",
